n_h,scaling_factor,learning_rate,num_iterations,cost,accuracy
2,0.3,0.1,30000,1.622687,41.25
2,0.3,0.1,50000,1.621203,43.125
2,0.3,0.3,500,1.655541,51.875
2,0.3,0.3,1000,1.636207,51.562
2,0.3,0.3,2000,1.627793,32.812
2,0.3,0.3,3000,1.625298,44.688
2,0.3,0.3,5000,1.623798,40.938
2,0.3,0.3,7000,1.623426,43.75
2,0.3,0.3,10000,1.622797,40.938
2,0.3,0.3,15000,1.621642,42.5
2,0.3,0.3,20000,1.606284,47.812
2,0.3,0.3,30000,1.618243,42.812
2,0.3,0.3,50000,1.627022,51.562
2,0.3,0.5,500,1.638132,38.125
2,0.3,0.5,1000,1.631623,38.438
2,0.3,0.5,2000,1.613321,49.062
2,0.3,0.5,3000,1.626262,50
2,0.3,0.5,5000,1.623908,46.562
2,0.3,0.5,7000,1.622876,45
2,0.3,0.5,10000,1.622565,39.062
2,0.3,0.5,15000,1.62005,43.75
2,0.3,0.5,20000,1.605773,47.812
2,0.3,0.5,30000,1.618393,50
2,0.3,0.5,50000,1.612659,39.688
2,0.3,0.7,500,1.628435,44.688
2,0.3,0.7,1000,1.62491,42.188
2,0.3,0.7,2000,1.630436,49.688
2,0.3,0.7,3000,1.625745,49.688
2,0.3,0.7,5000,1.622899,44.688
2,0.3,0.7,7000,1.623189,50
2,0.3,0.7,10000,1.623437,52.812
2,0.3,0.7,15000,1.607166,48.125
2,0.3,0.7,20000,1.615086,39.062
2,0.3,0.7,30000,1.605415,48.125
2,0.3,0.7,50000,1.622455,43.438
2,0.3,0.9,500,1.628405,44.375
2,0.3,0.9,1000,1.626577,50.938
2,0.3,0.9,2000,1.625862,50.313
2,0.3,0.9,3000,1.622832,41.562
2,0.3,0.9,5000,1.623395,39.375
2,0.3,0.9,7000,1.609713,49.375
2,0.3,0.9,10000,1.61846,43.75
2,0.3,0.9,15000,1.615818,40.938
2,0.3,0.9,20000,1.6159,41.25
2,0.3,0.9,30000,1.606203,49.062
2,0.3,0.9,50000,1.619952,52.5
2,0.3,1.1,500,1.629246,46.875
2,0.3,1.1,1000,1.628249,40.938
2,0.3,1.1,2000,1.622918,30
2,0.3,1.1,3000,1.624444,45
2,0.3,1.1,5000,1.623148,37.188
2,0.3,1.1,7000,1.624386,45.938
2,0.3,1.1,10000,1.609106,50.313
2,0.3,1.1,15000,1.615617,40.938
2,0.3,1.1,20000,1.607898,48.75
2,0.3,1.1,30000,1.607087,48.438
2,0.3,1.1,50000,1.620471,51.25
2,0.3,1.3,500,1.628064,50
2,0.3,1.3,1000,1.626347,44.062
2,0.3,1.3,2000,1.623302,30.625
2,0.3,1.3,3000,1.621632,30.312
2,0.3,1.3,5000,1.623162,36.875
2,0.3,1.3,7000,1.609584,48.75
2,0.3,1.3,10000,1.613476,33.125
2,0.3,1.3,15000,1.616185,40.938
